img_index,img_url
0,"http://www.bing.com/cr?IG=78D364077F574B009ACB4EBE7399A234&CID=0833CD02B6786CAF29FCC740B7496D6D&rd=1&h=pj6gkj9LdZ9l1X6Ndc9re9IJHFeGpbhRULjgzh0FNWk&v=1&r=http%3a%2f%2fstatic5.depositphotos.com%2f1001299%2f443%2fv%2f950%2fdepositphotos_4433953-Minivan.jpg&p=DevEx,5008.1"
1,"https://www.bing.com/cr?IG=78D364077F574B009ACB4EBE7399A234&CID=0833CD02B6786CAF29FCC740B7496D6D&rd=1&h=aDrR715_gDRbltZkFgMqEi78lolfEkzjx0KUg4m4AG0&v=1&r=https%3a%2f%2fthumbs.dreamstime.com%2fx%2fminivan-mpv-gray-car-isolated-white-background-31413061.jpg&p=DevEx,5014.1"
2,"https://www.bing.com/cr?IG=78D364077F574B009ACB4EBE7399A234&CID=0833CD02B6786CAF29FCC740B7496D6D&rd=1&h=THtWgjLNdon4rhQ3ZzpcQuzawAudw5PPdZPDwnJVNVA&v=1&r=https%3a%2f%2fthumbs.dreamstime.com%2fz%2fminivan-mpv-gray-car-isolated-white-background-31413061.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=78D364077F574B009ACB4EBE7399A234&CID=0833CD02B6786CAF29FCC740B7496D6D&rd=1&h=pn7pVHtFQt5qnEsiSNWviBnW8eflBXxXjzM2qH8iAEA&v=1&r=http%3a%2f%2fcomps.canstockphoto.com%2fcan-stock-photo_csp6742377.jpg&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=78D364077F574B009ACB4EBE7399A234&CID=0833CD02B6786CAF29FCC740B7496D6D&rd=1&h=OaxAkKXi_Zw4ux7fRaX19PfOTXYll5SNEjpb5jiNyVo&v=1&r=http%3a%2f%2ffscomps.fotosearch.com%2fcompc%2fCSP%2fCSP674%2fk6742377.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=78D364077F574B009ACB4EBE7399A234&CID=0833CD02B6786CAF29FCC740B7496D6D&rd=1&h=NM9_csjs3v0AXEP5eCFgGK3CFVg1R0U3VxvKRNGYheA&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fx%2fvector-minivan-white-background-54679665.jpg&p=DevEx,5038.1"
