img_index,img_url
0,"http://www.bing.com/cr?IG=F77DCD34439B449D92C8F15F3AA73264&CID=1AF926BF987C617F13B62CFA994D60B9&rd=1&h=8tMaef02jLHCGV3QbBKxQeWB3HYcxLBDkf45Tr6hNO0&v=1&r=http%3a%2f%2fdigital.hammacher.com%2fItems%2f83215%2f83215_1000x1000.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=F77DCD34439B449D92C8F15F3AA73264&CID=1AF926BF987C617F13B62CFA994D60B9&rd=1&h=DJ94DCZy4ZoNT5ihNwgSKokxQNqdgnb35jxq2sMEy3I&v=1&r=http%3a%2f%2fhi.atgimg.com%2fimg%2fx%2f252%2f21087.jpg&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=F77DCD34439B449D92C8F15F3AA73264&CID=1AF926BF987C617F13B62CFA994D60B9&rd=1&h=KwgktLnZ5iO6gDs5CsuK9zz2yJyJDtbMdItOLH4Y67U&v=1&r=http%3a%2f%2fwww.leonceantiques.com%2fimages%2fred%2520lamp.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=F77DCD34439B449D92C8F15F3AA73264&CID=1AF926BF987C617F13B62CFA994D60B9&rd=1&h=kfSVtSrhkh3jrJJIDCCubdooS81y7oe7XlNrwwoQNTU&v=1&r=http%3a%2f%2fwww.lightopiaonline.com%2fassets%2fimages%2fcurrey-and-company%2fdrayton-desk-lamp.jpg&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=F77DCD34439B449D92C8F15F3AA73264&CID=1AF926BF987C617F13B62CFA994D60B9&rd=1&h=LUX-dRBKd24mqKX7mqzclcoWIA8o0jMyYMCNPm_2sTk&v=1&r=http%3a%2f%2fwww.ikea.com%2fus%2fen%2fimages%2fproducts%2feldshult-floor-lamp__0169818_PE325167_S4.JPG&p=DevEx,5032.1"
