img_index,img_url
0,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=KDxahVrNc3qlCQsJfiyZi7wqeyMoKHMRlBMcLR8vx0I&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f0%2f0c%2fCow_female_black_white.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=3felS_Arw4wd_ALiCe4wIfsKlvuLBA9I07YPYu3oGis&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f4%2f44%2fCow-IMG_2050.JPG&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=vRzUKMhE1uUZlW7fMA-C9FH62DoDMujQ6xCmmz8p9-8&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f0%2f05%2fCow-bw.JPG&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=2glm4Lv_SrvDFcSM7yfu9dAflR7QCmrq2s-8McUItYo&v=1&r=http%3a%2f%2f3.bp.blogspot.com%2f-D0Td9trJgaU%2fTwTe13brW9I%2fAAAAAAAAAkI%2fC3h8L_sxyAc%2fs1600%2fCow.jpg&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=CZ0tByhEG9onUTXMEB5N6Cn5NFDh6Ew5PuvKFrVq8Ac&v=1&r=http%3a%2f%2f2.bp.blogspot.com%2f-CXFfl9luHPM%2fTV-Os6opQfI%2fAAAAAAAAA2E%2foCgrgvWqzrY%2fs1600%2fcow.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=GrVOI_-LqptGAAc-PueYzgQK85a2X-D3N96uyVWoG4w&v=1&r=http%3a%2f%2fwww.dailybackgrounds.com%2fwp-content%2fuploads%2f2015%2f02%2fcow-looking-at-someting.jpg&p=DevEx,5038.1"
6,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=78dNkVTIAvAptKBvzRrE7BawRqFinUu-4q_XCmi2xdY&v=1&r=http%3a%2f%2fgreatlakesgazette.files.wordpress.com%2f2012%2f06%2fcow-indiana_5968.jpg&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=5sSYW8SMCprjomimT8EiOuGjp0TfNSr-TCC3R92qjfA&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2fb%2fbc%2fGlarus-Cow.jpg&p=DevEx,5050.1"
8,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=b9qCH4zyLSW5NhQ7PiXP-pW6nd2sNqyV7fYhVOyKv9U&v=1&r=http%3a%2f%2fgreatlakesgazette.files.wordpress.com%2f2010%2f01%2fcow_0775.jpg&p=DevEx,5056.1"
9,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=jBMICi-gE2DxzDT8Fni5EfCeUwrMdVLReXNlOfIk5ks&v=1&r=http%3a%2f%2fblog.timesunion.com%2fopinion%2ffiles%2f2011%2f09%2f0922_WVsacredCow.jpg&p=DevEx,5062.1"
10,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=Kpben90hcD79d5rUpR7vRFhEHvXNnymECdHVV5mSYs4&v=1&r=http%3a%2f%2f2.bp.blogspot.com%2f-YRNKDP2cK4k%2fT8TtrLSlBrI%2fAAAAAAAAKmk%2fppwoC-SFT-U%2fs1600%2fcow%2bbos%2btaurus.jpg&p=DevEx,5068.1"
11,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=DHFmD-BMyUQQsCXgADtt6kv_lxWMphtLBeQf220lNB8&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2fd%2fd0%2fAbondance_cow_profile.jpg&p=DevEx,5074.1"
12,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=tRyqp66ylEL8P_19roWLCWarXM1tXgqr6VLP29Hq7_g&v=1&r=http%3a%2f%2f4.bp.blogspot.com%2f-SAU7NjY1EzU%2fUTBNiF-qtaI%2fAAAAAAAABng%2f6PFtu3Czxdk%2fs1600%2fBull%2bCow%2b2.jpg&p=DevEx,5080.1"
13,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=OwsdKJV9KxRroWUB2ZtBU_kZuKnsf8xjQqpLa4AX2fE&v=1&r=http%3a%2f%2f4.bp.blogspot.com%2f-bmUJzU6csME%2fUTBNjz7EY3I%2fAAAAAAAABnc%2fPAK-GfXv1ew%2fs1600%2fBull%2bCow.jpg&p=DevEx,5086.1"
14,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=wHwwRwORpAAAfCAZRfQp-OuviE_Qw6T9dbYUsLNzWAc&v=1&r=http%3a%2f%2fimages5.fanpop.com%2fimage%2fphotos%2f31400000%2fCow-cows-31450226-1561-1121.jpg&p=DevEx,5092.1"
15,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=zT9lBevz1zusvhYyy7FWL-xuUHTkbz7HvJUvX-xVIqY&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f8%2f8c%2fCow_(Fleckvieh_breed)_Oeschinensee_Slaunger_2009-07-07.jpg&p=DevEx,5098.1"
16,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=O7kSaK3bBA2FWD09-2Tp2zE4IcKk-ChzyKLkglvJePE&v=1&r=http%3a%2f%2fhootingyard.org%2fwp-content%2fuploads%2f2014%2f04%2fhf-cow-1026945.jpg&p=DevEx,5104.1"
17,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=xitqLkF8LyjHB_GeC7oHk_OXjUVYB5ARkbR-1TvnGgA&v=1&r=http%3a%2f%2fwww.acuteaday.com%2fblog%2fwp-content%2fuploads%2f2011%2f03%2floving-mother-cow-and-calf1.jpg&p=DevEx,5110.1"
18,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=ZJGFJLDh3IeVTgjvOOuYl2FP6k5hK06pIfZgPY9TcCU&v=1&r=http%3a%2f%2fcow-mooo.wikispaces.com%2ffile%2fview%2fcow.jpg%2f143798941%2fcow.jpg&p=DevEx,5116.1"
19,"http://www.bing.com/cr?IG=9B7605D715CE435F8E1E0858A2750856&CID=001384E72A606F76142C8EA22B516EB4&rd=1&h=AYdxcfugyb_oVA6O6s8nocmsXQ39SMA-jPcv78ynVlY&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2fb%2fb4%2fCow_horned_portrait.jpg&p=DevEx,5122.1"
