img_index,img_url
0,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=X6gDmvOo8dgYIoDsrq_LkZAyy6la6Z7owHnxNu_anpw&v=1&r=http%3a%2f%2fdigital.hammacher.com%2fItems%2f74035%2f74035_1000x1000.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=VPIKwvMUuokcQZpXbDeIoWJeppFDHP-n0hlyShmQTRg&v=1&r=http%3a%2f%2fa.tgcdn.net%2fimages%2fproducts%2fzoom%2fe73b_star_trek_bathrobes.jpg&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=zj4hqU5yvNaIS3lldaZAse0feZ-beZChSs3zKwmmUxU&v=1&r=http%3a%2f%2fwww.linumtowels.com%2fmedia%2fcatalog%2fproduct%2fcache%2f1%2fimage%2f1000x1000%2f9df78eab33525d08d6e5fb8d27136e95%2fm%2fo%2fmoms_bathrobe.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=Wj_4hm9HtzTCHhUsje4_jqsGySSLsqbeGSPE04LJ7Kk&v=1&r=http%3a%2f%2frobeplus.com%2fstore%2fimage%2fcache%2fdata%2fbathrobe%2ffleece%2fshort-blue%2f1-800x800.jpg&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=ivjXyyQqGfhjCmHEUlqdHPRQxjHryGfF42c_kv3gfZE&v=1&r=http%3a%2f%2fchakirlinen.com%2fimages%2fdetailed%2f0%2f2012-09-08-Robes-225As.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=U4bhi__2ocE7_wn4gNiDHEzyTVxcka5GcEkBjQ2WoQ4&v=1&r=http%3a%2f%2fak1.ostkcdn.com%2fimages%2fproducts%2f5301581%2fWomens-Purple-Organic-Cotton-Bath-Robe-L13111974.jpg&p=DevEx,5038.1"
6,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=SMCza8_6uHYCnKdz-CwMw1X9WFvXFM5t2BqnBCiVr3s&v=1&r=http%3a%2f%2fdecorlinen.com%2fimages%2fbathrobes%2fbathrobes-59.jpg&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=GH6KasL98mXom-EhbCKaAUr2LeqP0Sjh5iq8yZJVw1U&v=1&r=http%3a%2f%2fdecorlinen.com%2fimages%2fbathrobes%2fbathrobes-74.jpg&p=DevEx,5050.1"
8,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=u5tqQu4qRk3M41htULX75V6JrH7eOFIqTDFG9lNYbvk&v=1&r=http%3a%2f%2fchakirlinen.com%2fimages%2fdetailed%2f0%2f2012-09-08-Robes-227A.jpg&p=DevEx,5056.1"
9,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=_muLs4P6Dnijx4Dub9CalGN3qlqsO0FtGstV6HwUfn0&v=1&r=http%3a%2f%2fchakirlinen.com%2fimages%2fdetailed%2f0%2fIMG_3301.jpg&p=DevEx,5062.1"
10,"https://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=zPMhVynjLXFwgIHTgeq3-z9NILsla9SGpuHqhEdfV2A&v=1&r=https%3a%2f%2ftexeresilk.com%2ftexereImages%2f1395936904_wb0101-main.jpg&p=DevEx,5068.1"
11,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=UP4xI716luoQ1QSqSobK6Yqu7VFq5G_CezcbkBVBuZ8&v=1&r=http%3a%2f%2fchakirlinen.com%2fimages%2fdetailed%2f0%2fIMG_3308.jpg&p=DevEx,5074.1"
12,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=IS_c0UmwkJYRLuHxxC1KinweXNN73ewXi-NR8gdlH_c&v=1&r=http%3a%2f%2fdecorlinen.com%2fimages%2fbathrobes%2fbathrobes-11.jpg&p=DevEx,5080.1"
13,"http://www.bing.com/cr?IG=9EBD79BD8ED5482783789CFE5E89ECE3&CID=2442667CABE460EA1C386C39AAD561BF&rd=1&h=nD1gi-pmz0kgJ7X7RW02kjNe9CaTtxMKacwqwt_x2a0&v=1&r=http%3a%2f%2fcdn1.amara.co.uk%2fuploads%2fimages%2fproducts%2f1000%2f3black-rose-bathrobe.jpg&p=DevEx,5086.1"
