img_index,img_url
0,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=G9d35AMMm99FGR4s_vwQi1wKbgSTIMPo5Upi84Nri0U&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fpretzels-white-background-16451638.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=1v4VlNntcd3ve2EbkB_s4gMFPDJAYS_aC244b54Ol0Q&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fpretzels-white-background-41437487.jpg&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=GqIbG6iA_KmQ1BRLJLG1UswkasVlrlRrjeJSQwd9h2Y&v=1&r=http%3a%2f%2fthumb9.shutterstock.com%2fdisplay_pic_with_logo%2f999701%2f456939886%2fstock-photo-salted-pretzels-on-white-background-456939886.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=294i0Ptf2fFIIdFb-Oszi1N2jH4iBY3IdV9ErfbuWPg&v=1&r=http%3a%2f%2fthumb7.shutterstock.com%2fdisplay_pic_with_logo%2f999701%2f456810859%2fstock-photo-salted-pretzels-on-white-background-456810859.jpg&p=DevEx,5026.1"
4,"https://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=hbtr9L0BNpnjLd-yYrYAO8NaWkK057F4hn97qiZOuDM&v=1&r=https%3a%2f%2fd2gg9evh47fn9z.cloudfront.net%2fthumb_COLOURBOX2710287.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=y0pDmvbgVRN8laREGIVecCFKSdMpKofd5d5_XR8d1_8&v=1&r=http%3a%2f%2fthumb9.shutterstock.com%2fdisplay_pic_with_logo%2f2725285%2f416568286%2fstock-photo-salted-pretzels-on-white-background-416568286.jpg&p=DevEx,5038.1"
6,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=7oB3Tq9scHkMI-jAfz-1Un2niALx3wIs1B2HTZPwpbU&v=1&r=http%3a%2f%2fimage.shutterstock.com%2fz%2fstock-photo-crispy-pretzels-on-white-background-269087003.jpg&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=i7uVeWpN1pEL-Cqts9KOoUqCPohk4AoHilkLtf2psaQ&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fpretzels-white-background-12473359.jpg&p=DevEx,5050.1"
8,"https://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=Lci6nhgKyIxjPSgpKOukJEtxUnBVnJ7uatDOJuRUfuk&v=1&r=https%3a%2f%2fthumb9.shutterstock.com%2fdisplay_pic_with_logo%2f2725285%2f465125966%2fstock-photo-yogurt-covered-pretzels-on-white-background-465125966.jpg&p=DevEx,5056.1"
9,"https://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=nW3kMAqqLWfQS-E8rG9WDIJZOeRswAQ1QeF1DLhjHZI&v=1&r=https%3a%2f%2fwww.colourbox.de%2fpreview%2f2713019-tasty-pretzels-on-white-background.jpg&p=DevEx,5062.1"
10,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=5RXh7k_fOFJqmiTCuSd_5v6Ece9neWQ-4lio8iqgrMQ&v=1&r=http%3a%2f%2fimage.shutterstock.com%2fz%2fstock-photo-pretzel-isolated-on-white-background-salt-and-soft-170366981.jpg&p=DevEx,5068.1"
11,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=OZ7jRemgY6NzNcJsAM6KgM0VzOqytRd8SanuCPpaUT0&v=1&r=http%3a%2f%2fthumb7.shutterstock.com%2fdisplay_pic_with_logo%2f2725285%2f394419385%2fstock-photo-salted-pretzels-on-white-background-394419385.jpg&p=DevEx,5074.1"
12,"http://www.bing.com/cr?IG=B76AEB03557C42AA999150A7EF4C1A53&CID=185B8793E4606C7D30688DD1E5516DE9&rd=1&h=3ZYKcc1UmeN11KK1rAR-B-1V6bZWSnrZvuAspb65G3M&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2ffresh-soft-pretzels-23593558.jpg&p=DevEx,5080.1"
