img_index,img_url
0,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=z9A4cz2q6uljLi_6gQR5V2Mh3PLgZKNXx0xtIYowgy8&v=1&r=http%3a%2f%2fwww.bestallergysites.com%2fwp-content%2fuploads%2fchoc-chip-cookies.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=sCOIL9bms4FYE4KKHgGTT2WQ_jQV8Qf4rLhoPl0V1aw&v=1&r=http%3a%2f%2fwww.a-kitchen-addiction.com%2fwp-content%2fuploads%2f2013%2f01%2fflourless-pb-choc-chip-cookies-w-name.jpg&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=IraYp3R7Cpeelpfu0gBERA5LF3kMBKeo3Rxid5p4qHU&v=1&r=http%3a%2f%2ftryityoumightlikeit.files.wordpress.com%2f2010%2f05%2fchocolate-almond-cookies.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=MrRuKKuDzMqPLOseVk2bWnumlR8byeauA1WLk7HRJx0&v=1&r=http%3a%2f%2fwww.pcrepairleeds.com%2fwp-content%2fuploads%2f2013%2f02%2fcookies.gif&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=YH6CJqzaghQV6EAYIqgZJUQomnadCwxVzxXbXBUjzq0&v=1&r=http%3a%2f%2fwww.cookingclassy.com%2fwp-content%2fuploads%2f2012%2f11%2fcornbreadsugarcookieswithhoneybutterfrosting.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=Wd2qHX9p8cxMZ5evp0tGOjQ8yycZbzS9R7oiLREPgLM&v=1&r=http%3a%2f%2f2.bp.blogspot.com%2f-4ocRPzhssRc%2fUMtRGot3dHI%2fAAAAAAAAAQU%2fbvUo5hyuMUI%2fs1600%2fChocolate_chip_cookies.jpg&p=DevEx,5038.1"
6,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=WabOSEolYr_YrgMEYr8LAZh5wY4N6D3vCh0MH44oabE&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2fb%2fb9%2fChocolate_Chip_Cookies_-_kimberlykv.jpg&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=BuzTlKbuHAb4Nvaxju9Nnw1pwh1Sw4bXnKPPjyVCxUA&v=1&r=http%3a%2f%2f1000awesomethings.files.wordpress.com%2f2008%2f09%2fcookies.jpg&p=DevEx,5050.1"
8,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=FUoDKU875JsQ4M_Qbw0uKKH-gdppdhjXR7r84UF3Qnk&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f5%2f50%2fChocolate_chip_cookies.jpg&p=DevEx,5056.1"
9,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=RrOL_GE5PF-OUTTvn6ZTTIniYZGMetiSxFkIi-hdnHE&v=1&r=http%3a%2f%2fchislehurstdoors.co.uk%2fwp-content%2fuploads%2f2013%2f07%2fcookies.jpg&p=DevEx,5062.1"
10,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=WQQfq5obcCYu1OPTsF1gY451dWeBJpryZ8Fuphe14vM&v=1&r=http%3a%2f%2fwww.blissfullydelicious.com%2fwp-content%2fuploads%2f2010%2f12%2fsugar-cookies.jpg&p=DevEx,5068.1"
11,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=WUI3hGm1tBqSVtux46vJv97B_tFj7gxFq2u4LzTeb8E&v=1&r=http%3a%2f%2fwww.cookingclassy.com%2fwp-content%2fuploads%2f2012%2f12%2fmm%2bcookies3.jpg&p=DevEx,5074.1"
12,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=l_jYkgKeqU0nnwgDWBd6qEce6MjX2Pc73yTeU7VjqvY&v=1&r=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2ff%2ff1%2f2ChocolateChipCookies.jpg&p=DevEx,5080.1"
13,"http://www.bing.com/cr?IG=8C8BACBC1DA7423E995BB3EAA70E00BC&CID=38FC3FA33ED06140183635E63FE16071&rd=1&h=jQISfrdyhKX4koQmLjAa39_hTeDrNrjff837bmxVssQ&v=1&r=http%3a%2f%2f1.bp.blogspot.com%2f-AXMi9Xi8OO0%2fTuDbEFIqXcI%2fAAAAAAAABPk%2fBU4ZjmQHqBw%2fs1600%2fcookies%252B006.jpg&p=DevEx,5086.1"
