img_index,img_url
0,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=F-fu2C_zs6w3qCxyWkzIHrd1GE9Mx7FTZ8UE919ZYqs&v=1&r=http%3a%2f%2fwww.lindybop.co.uk%2fimages%2faphrodite-dove-grey-occasion-dress-p2720-16616_zoom.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=qINEGivR8Rm7t3Mo4kpiX6JoT7G7AjqaHGZjP9JyBdc&v=1&r=http%3a%2f%2fimages.asos-media.com%2finv%2fmedia%2f0%2f7%2f8%2f1%2f5371870%2fnavynude%2fimage1xxl.jpg&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=tWeFm9Jf-dhNcoJJO_7T2urD8W2yFlHEX2eTDLS-y5M&v=1&r=http%3a%2f%2fimages.asos-media.com%2finv%2fmedia%2f0%2f6%2f4%2f5%2f4875460%2fred%2fimage1xxl.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=2seo8ZuDSCTTVZSAyooPUce3ruzN-nf9Idbipv8P3vA&v=1&r=http%3a%2f%2fwww.prom-dresses-uk.com%2fimages%2fchi-chi-elsa-dress.jpg&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=1xcWWhdCQjX28hW_AHoKoLg1o8Uu7K9H5HUrrYYasD0&v=1&r=http%3a%2f%2fimages.asos-media.com%2finv%2fmedia%2f8%2f3%2f3%2f9%2f6339338%2fblue%2fimage1xxl.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=jeBFbQhlxptehts44FsvbM5ihsmn25lOBevHdcAqoC0&v=1&r=http%3a%2f%2fwww.tulipbridal.com%2fassets%2fimages%2fbridesmaid_dress%2fbridesmaid-dress-9003-1.jpg&p=DevEx,5038.1"
6,"https://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=0-lV_Ld5aUxWJJlgslsaLJbwjnxki-GHQc8SCmD0GOw&v=1&r=https%3a%2f%2fcdnc.lystit.com%2fphotos%2f391b-2015%2f04%2f16%2fasos-blush-wedding-cold-shoulder-ruched-midi-dress-blush-product-2-742954647-normal.jpeg&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=Oq1ydrmBSj4hmeMvhqi1SnFNsJe6nQRfaaDMkSFPHyI&v=1&r=http%3a%2f%2fwww.dressedupgirl.com%2fwp-content%2fuploads%2f2014%2f12%2fBeige-Long-Dress.jpg&p=DevEx,5050.1"
8,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=wLkzmeWHsaaDIYfTrj94iRqyvQG1MBH5SEFsDuHAHRY&v=1&r=http%3a%2f%2fwww.q-pid.co.uk%2fekmps%2fshops%2fqpids%2fimages%2fmidnight-blue-maxi-gown-sheath-dress-1271bl-qpid-showgirl-%255B3%255D-1586-p.jpg&p=DevEx,5056.1"
9,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=k9OJQAFsXFiicg56fQUsJ9_92hQFGEOHLcGk_41YXr4&v=1&r=http%3a%2f%2fimages.asos-media.com%2finv%2fmedia%2f2%2f1%2f7%2f0%2f5000712%2fimage4xxl.jpg&p=DevEx,5062.1"
10,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=wY1T88KUplHoLgWAoOBbIjLl784oAESaDv8ZrLNF5Xw&v=1&r=http%3a%2f%2fimages.asos-media.com%2finv%2fmedia%2f6%2f0%2f9%2f9%2f5699906%2fnavy%2fimage1xxl.jpg&p=DevEx,5068.1"
11,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=Id_MFbEv-TPOzA0WzYkb8m7T8eavFyQYTAQoswXZ47E&v=1&r=http%3a%2f%2f1.bp.blogspot.com%2f-XSDHTiLFUtc%2fUFIDwVY4S_I%2fAAAAAAAABFs%2fsYeP-Qrlk1k%2fs1600%2ftopshop-red-heart-mesh-flippy-dress-product-1-3527101-199703182.jpeg&p=DevEx,5074.1"
12,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=kb6wkomz7-D1GadVUHcixh1Wp3YWezcBiz2h1qNkDCI&v=1&r=http%3a%2f%2fwww.pjbbgown.com%2fwp-content%2fuploads%2f2015%2f05%2fGreen-Cocktail-Dress.jpg&p=DevEx,5080.1"
13,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=aW0Km2b6Ydx9O4H5--bpJuW1RAW6wD4OwoRdYj7GvVI&v=1&r=http%3a%2f%2fwww.lindybop.co.uk%2fimages%2fbernice-paris-border-swing-dress-p2745-16824_zoom.jpg&p=DevEx,5086.1"
14,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=bLA4lcxmbaMJo2i_-z8Pu272eC9EHTG0uarE4iFd1lo&v=1&r=http%3a%2f%2fwww.thecotswoldfrockshop.co.uk%2fimages%2fthe-dessy-group-dessy-2864-stretch-charmeuse-dress-with-drape-suede-rose-p75-6066_image.jpg&p=DevEx,5092.1"
15,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=89jVL5LMPmQjF8xwLIMknmf5hGQBlPiQqVHvsGpL694&v=1&r=http%3a%2f%2fimages.asos-media.com%2finv%2fmedia%2f6%2f7%2f4%2f1%2f5711476%2fgold%2fimage1xxl.jpg&p=DevEx,5098.1"
16,"https://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=IosaNMirqytkFiIJNmWqjTKR497QJmdjAxdwVOSSO7w&v=1&r=https%3a%2f%2fcdnb.lystit.com%2fphotos%2f7848-2014%2f04%2f04%2ffrench-connection-white-dress-vivien-paneled-jersey-mini-dresses-product-1-18933444-1-365294051-normal.jpeg&p=DevEx,5104.1"
17,"http://www.bing.com/cr?IG=FB7390F98FE14FC58D9016A1F3F1A4EE&CID=1A4467C8929366F11F2E6D8D93A2670B&rd=1&h=0x30dL_CkIPEOiireWMKkc-zcd6-mIk0ZnVlUhlmzm0&v=1&r=http%3a%2f%2fs.dresswe.com%2fimages%2fproduct%2f10%2f10984%2f10984038_1.jpg&p=DevEx,5110.1"
