img_index,img_url
0,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=diD63LjmETMNuu9MOeUoZEjngy2k201nPxOmxEWHEkc&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2ffresh-rosemary-white-background-25209452.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=2Ti41115_qUylqil7TDsBSrMUkvYym_dtNpKRBY284o&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2frosemary-white-background-6162339.jpg&p=DevEx,5014.1"
2,"https://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=BcLHTnc4BQRC0eNWpgAgpxTpqB_TNksJSeu0KfTiwe8&v=1&r=https%3a%2f%2fthumbs.dreamstime.com%2fz%2frosemary-white-background-vector-watercolor-hand-illustration-element-design-57448883.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=4efgijyV6E3Y49QcxvM6SLuj9RNFh6HSxqDmomnsxLQ&v=1&r=http%3a%2f%2fmedia.gettyimages.com%2fphotos%2ffresh-rosemary-on-white-background-picture-idsb10067715v-001%3fs%3d170667a&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=z-GrDF931r_b5uEI2lGuilJxEbNHb4qfWPnX-2NR-Do&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2frosemary-910708.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=c0JOPAWDH9Kvmx7Fx0RJUs6IXDdEwOe-Y8MMEhp8esI&v=1&r=http%3a%2f%2fthumb7.shutterstock.com%2fdisplay_pic_with_logo%2f61546%2f458576809%2fstock-photo-twig-of-rosemary-on-white-background-458576809.jpg&p=DevEx,5038.1"
6,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=-cScP38Suracxbz7OEX_ZRcBcodAYn6XMUm8YqZMQrk&v=1&r=http%3a%2f%2fmedia.gettyimages.com%2fphotos%2ffresh-rosemary-on-white-background-closeup-picture-id152832010%3fs%3d170667a&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=D3ntMx1TG6GpNuq_jJxmIXkm3J_yr53JiVoWNvS704k&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fsprig-rosemary-white-background-closeup-view-63355684.jpg&p=DevEx,5050.1"
8,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=HT3S6G0GcBHLXAWTisxNCtgU0_SsH4Xdf8npyWeRgKY&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2ffresh-green-rosemary-white-background-67309600.jpg&p=DevEx,5056.1"
9,"http://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=0UtzYicm_lgcJBe3aafclQRo91wUPftkg2IkkQkZ8po&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fx%2ffresh-green-rosemary-white-background-67309600.jpg&p=DevEx,5062.1"
10,"https://www.bing.com/cr?IG=79706464BAE44C87AE7A1A03CA5898B0&CID=3F2B288F56BE68863EBB22CD578F69B5&rd=1&h=DqHW64z2VLtL8eH3yvCkbXCh0K_wovwLzVAx9Fd18qY&v=1&r=https%3a%2f%2ft4.ftcdn.net%2fjpg%2f00%2f75%2f99%2f15%2f500_F_75991523_q50AEhQIh6m5kvMRSwtWXR806TtqnIMU.jpg&p=DevEx,5068.1"
