img_index,img_url
0,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=irG4Y4emLigwY51bC_Ho5LCssVAk7G_oBvypr5g_tck&v=1&r=http%3a%2f%2fwww.elenaphoto.com%2flatex_gloves_on_white_background_sjpg15330.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=M7a4n1KI0a9JN5HGptZldySN-k0gg-YL5x1Oi-BNCk0&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fhand-gloves-white-background-26783039.jpg&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=fZX-0Jbt7B3Xst2bNMTn8cLuSBpdVpScx9CfXcGPpqo&v=1&r=http%3a%2f%2fwww.thetimes.co.uk%2ftto%2fmultimedia%2farchive%2f00109%2ft2-boxing-gloves-81_109395c.jpg&p=DevEx,5020.1"
3,"https://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=R7cr6unY8elp_Q64Af5MROfVt1JEwNbrGqrxS7wvG_E&v=1&r=https%3a%2f%2fcolourbox.com%2fpreview%2f2056496-black-boxing-gloves-on-white-background.jpg&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=-FfYGhhkS2wvzNGGPIWGpPF9SXWCPTj1JitJruM6dLQ&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fcotton-gloves-white-background-isolated-54875706.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=seSIBWAwMrOlJQjaStgy9VcDBENef9AylxCFG50F0r8&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fwork-gloves-24358608.jpg&p=DevEx,5038.1"
6,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=fGI9KSMJsL0mDjlTfuHr5Hx0cPBRPl-U87DNHjggz7Q&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fx%2flatex-gloves-white-background-26070084.jpg&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=8A3usZpDfSuwHC1IpEz9ucTjDYpg1DKbc4vph133RAQ&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fcotton-gloves-white-background-isolated-54875755.jpg&p=DevEx,5050.1"
8,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=r8dE-lmXDqx2OUvhnb2lYhwujmTv6n9uhgniZI-o_Hs&v=1&r=http%3a%2f%2fwww.colourbox.com%2fpreview%2f2036173-903633-blue-boxing-gloves-on-white-background.jpg&p=DevEx,5056.1"
9,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=LLp6saWaQn6HgLT83hnMtWeDV1Euw8Swho69XDAItmk&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fwork-gloves-white-background-leather-five-fingers-shot-exposure-brings-out-leather-s-texture-good-detail-31401490.jpg&p=DevEx,5062.1"
10,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=nuQ3PqyHhLpgvFdzDsCt10Vjrg9nX5lVBGbwlKNlx-A&v=1&r=http%3a%2f%2fwww.colourbox.com%2fpreview%2f2359429-373200-illustration-of-boxing-gloves-on-white-background.jpg&p=DevEx,5068.1"
11,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=jlT47ywO4GzAcW5xL-SDp6bBPmeDMUiu_jvCjNdc0Lo&v=1&r=http%3a%2f%2fcolourbox.com%2fpreview%2f3129181-boxing-gloves-on-white-background.jpg&p=DevEx,5074.1"
12,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=uozhWPjYVZ5rPHbIy6NrvfwdV3FCDU-y_jQjYEtXiUk&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fwork-gloves-white-background-leather-five-fingers-shot-exposure-brings-out-leather-s-texture-good-detail-31387498.jpg&p=DevEx,5080.1"
13,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=eT2A0cRGFcXSAO99ufilhM-oAZar-igGjS-SN85zo1c&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fpair-red-leather-boxing-gloves-white-background-32016336.jpg&p=DevEx,5086.1"
14,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=9-dxPOX2tVbi7GqUU-ZirRUzO6raTgot-2NiNtO5rmo&v=1&r=http%3a%2f%2fimage.shutterstock.com%2fdisplay_pic_with_logo%2f2364161%2f196856675%2fstock-photo-old-dirty-gloves-on-white-background-196856675.jpg&p=DevEx,5092.1"
15,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=r1NIBfS1WLUMAhzGI0YhfDyfGsOLPESmnKEgZW0eKHw&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fgloves-white-background-isolate-isolated-47027915.jpg&p=DevEx,5098.1"
16,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=cVG6kFB7Aw3Mf8Hmobmj2F0uleJGhst_paWZ28EyQX0&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fpair-red-leather-boxing-gloves-white-background-32994292.jpg&p=DevEx,5104.1"
17,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=utiTRBV5xe_j7YzJQ7zQDC8_dL8LF9hj6kAkwqxPmXg&v=1&r=http%3a%2f%2fl7.alamy.com%2fzooms%2f9426fd5f2e564fa0bc83d23007da320d%2fpair-of-colourful-gloves-on-white-background-fcxphc.jpg&p=DevEx,5110.1"
18,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=1vs06db66N81Y_3QY2B7irLLMGt9DrWi3-r6XQMOrTY&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2fblack-white-elegant-women-s-heart-shaped-gloves-white-background-female-47273374.jpg&p=DevEx,5116.1"
19,"http://www.bing.com/cr?IG=3D12A34C964A45EE9C98A467D9D2DA44&CID=3B774D855EA7651D3F8847C75F966490&rd=1&h=ghRq4gmZl1YP5CiQDnezy-BiK6oWtKtnHrvi9uRSCHQ&v=1&r=http%3a%2f%2fl7.alamy.com%2fzooms%2fbca7da3dfa244929914b9da6a920ac13%2fa-pair-of-knitted-winter-gloves-isolated-on-white-background-d7mgtd.jpg&p=DevEx,5122.1"
