img_index,img_url
0,"https://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=H1t8aiF7_ZYw-hF-_LwO2K1YdfFUBwjK4AmbvgsZzF8&v=1&r=https%3a%2f%2fthumbs.dreamstime.com%2fz%2ffire-truck-white-background-d-render-31097594.jpg&p=DevEx,5008.1"
1,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=D-X35aPKR4Ev_0l8vKD9ZMaYDZPqTLEfdVdRuZk-Bv8&v=1&r=http%3a%2f%2fthumb1.shutterstock.com%2fdisplay_pic_with_logo%2f1369867%2f139407098%2fstock-photo-fire-truck-isolated-on-white-background-139407098.jpg&p=DevEx,5014.1"
2,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=1YVoLhN-hIEsOpNmj0Qsq7HM2xvnMvLs4_hf5XW56F0&v=1&r=http%3a%2f%2fimage.shutterstock.com%2fdisplay_pic_with_logo%2f105832%2f105832%2c1223602746%2c1%2fstock-photo-fire-truck-on-white-background-18659482.jpg&p=DevEx,5020.1"
3,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=W2iWwySqHinuMVsX73glqfPWBWJkP8bSdGG-5k8cTAU&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2ffire-truck-white-background-d-render-31097539.jpg&p=DevEx,5026.1"
4,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=iPmUIq0e0s-czXEYHxjmdMZDehBVENfAEKyk72ZG1QM&v=1&r=http%3a%2f%2fcolourbox.com%2fpreview%2f2485796-firetruck-on-white-background.jpg&p=DevEx,5032.1"
5,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=PYFcjoWYri-kifUfuvrfQxtafC0oMU-FOuCodLuRDWU&v=1&r=http%3a%2f%2fimage.shutterstock.com%2fdisplay_pic_with_logo%2f105832%2f105832%2c1223602673%2c1%2fstock-photo-fire-truck-on-white-background-18659470.jpg&p=DevEx,5038.1"
6,"https://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=vmJk5PhzLStuSF1uHGYbEP73_8s95xNkcPyEaIvh0wg&v=1&r=https%3a%2f%2fthumbs.dreamstime.com%2fx%2ffire-truck-white-background-d-render-31097511.jpg&p=DevEx,5044.1"
7,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=yH1gEkCYEuXo7nSXNWqcn51Sd1VzYKJZwABMDK67apM&v=1&r=http%3a%2f%2fwww.visualphotos.com%2fphoto%2f2x4775071%2ftoy_fire_truck_on_white_background_12409cs-u.jpg&p=DevEx,5050.1"
8,"https://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=Mf2h-e35JfZGk8GgZK9fGdV9yYDSU5BBtlRYEQuMJm0&v=1&r=https%3a%2f%2fthumbs.dreamstime.com%2fz%2ffiretruck-isolated-6704340.jpg&p=DevEx,5056.1"
9,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=wkgM6f4l2ARiY8FPpBnRGdo47BrvKS7tOOkqAvGvT5s&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2famerican-firetruck-white-background-40595333.jpg&p=DevEx,5062.1"
10,"http://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=qdlQ6jxxoro9xDg2leSO4iiD5XVcL3_XJFLvytenPok&v=1&r=http%3a%2f%2fthumbs.dreamstime.com%2fz%2ffiretruck-white-background-28620637.jpg&p=DevEx,5068.1"
11,"https://www.bing.com/cr?IG=1004A4C87B914EBB94CEDB7E2FDC79DF&CID=2F2B51CCDDB869D311F75B8EDC896832&rd=1&h=N6ijj_ScgDHP7SZlcU4sk0YTwHmqHxpu4J02Qn1Rh3w&v=1&r=https%3a%2f%2fthumbs.dreamstime.com%2fx%2ffire-truck-white-background-vector-illustration-51371774.jpg&p=DevEx,5074.1"
